pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
154;vt4_Viikinmäki;20190223;2;Helsinki;*;Ajoneuvoluokka;HA - PA;204;147;143;123;144;181;432;427;511;784;825;1052;1142;1218;1170;1244;1194;1163;1081;849;639;505;369;283;15830
154;vt4_Viikinmäki;20190224;1;Lahti;*;Ajoneuvoluokka;HA - PA;303;243;198;181;187;141;133;203;255;427;710;786;890;1207;1098;1143;1259;1054;898;896;718;553;343;154;13980
154;vt4_Viikinmäki;20190224;2;Helsinki;*;Ajoneuvoluokka;HA - PA;217;176;153;132;104;146;256;296;376;575;695;950;1005;1209;1333;1414;1367;1385;1213;1045;742;426;246;138;15599
154;vt4_Viikinmäki;20190225;1;Lahti;*;Ajoneuvoluokka;HA - PA;136;130;68;50;79;167;468;845;1005;789;909;1030;1025;1272;1842;3057;2870;2070;1388;1062;947;910;430;223;22772
154;vt4_Viikinmäki;20190225;2;Helsinki;*;Ajoneuvoluokka;HA - PA;85;63;50;52;149;698;2568;2980;2928;1656;1116;1165;1154;1082;1124;1240;1364;1334;981;753;668;396;207;98;23911
154;vt4_Viikinmäki;20190226;1;Lahti;*;Ajoneuvoluokka;HA - PA;156;80;68;46;63;150;421;858;911;851;935;1163;1082;1368;1895;3031;2799;2171;1465;1227;1065;741;420;197;23163
154;vt4_Viikinmäki;20190226;2;Helsinki;*;Ajoneuvoluokka;HA - PA;71;42;35;38;132;719;2627;3053;3102;1585;1193;1211;1214;1077;1172;1279;1420;1257;1024;787;714;416;228;107;24503
154;vt4_Viikinmäki;20190227;1;Lahti;*;Ajoneuvoluokka;HA - PA;113;59;65;51;68;129;463;842;965;831;1016;1070;1139;1364;1954;2988;2863;2080;1487;1194;1069;1230;498;240;23778
154;vt4_Viikinmäki;20190227;2;Helsinki;*;Ajoneuvoluokka;HA - PA;63;47;41;55;123;707;2638;3155;2996;1739;1126;1263;1187;1135;1180;1367;1582;1638;1108;850;693;477;252;135;25557
154;vt4_Viikinmäki;20190228;1;Lahti;*;Ajoneuvoluokka;HA - PA;141;94;84;62;81;149;463;853;1001;808;1036;1150;1197;1423;2001;2926;2961;2358;1595;1189;1026;754;508;239;24099
154;vt4_Viikinmäki;20190228;2;Helsinki;*;Ajoneuvoluokka;HA - PA;90;54;58;67;141;697;2661;3070;2868;1732;1260;1323;1226;1198;1165;1304;1525;1300;1063;830;808;512;290;131;25373
